conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.01E+18,Thu Jun 14 12:06:35 +0000 2018,0,Malam takbiran Nonton pembukaan Piala Dunia #IndonesiaBertakbir,1.01E+18,,,in,,0,0,0,https://twitter.com/rezib48/status/1007232834388537344,1455926718,rezib48
1.01E+18,Thu Jun 14 12:06:51 +0000 2018,0,Lagi lagi kmenangan dramatis terjadi pd pembukaan piala dunia th ini ir iran 1-0 maroko #iran #maroko,1.01E+18,,,in,,0,0,0,https://twitter.com/Heriyoga7/status/1007232900029267969,9.75E+17,Heriyoga7
1.01E+18,Thu Jun 14 12:07:06 +0000 2018,0,Malam ini 11.00pm waktu Msia separuh atau lebih penduduk dunia akan terpacak di depan TV menyaksikan perlawanan pembukaan Piala Dunia. Kpd sahabat pakcik yang telah meninggal dunia pakcik akan ceritakan bagaimana Argentina memenangi World Cup tahun ini dialam barzakh nanti.,1.01E+18,,,in,"Pekanbaru,Riau",0,0,0,https://twitter.com/HardyMS_/status/1007232960884498432,4512149894,HardyMS_
1.01E+18,Thu Jun 14 12:08:07 +0000 2018,0,@see_y08 Bukan..hadiah Juara Sepakbola Piala Dunia di Rusia..,1.01E+18,,Scherazade02,in,Indonesia,0,0,0,https://twitter.com/daffana/status/1007233220545470464,193997863,daffana
1.01E+18,Thu Jun 14 12:12:15 +0000 2018,0,Goal Line Technology sama VAR benar-benar membantu di Piala Dunia.,1.01E+18,,,in,"Balikpapan Utara, Indonesia",0,0,0,https://twitter.com/hadieoyie/status/1007234257859694593,112191211,hadieoyie
1.01E+18,Thu Jun 14 12:13:04 +0000 2018,0,Sumpah jerman sama spanyol angkat koper dari piala dunia Rusia.... Gw jadi males ikutin berita piala dunia tahun ini,1.01E+18,,,in,"Deli Serdang, East Sumatera, ",0,0,0,https://twitter.com/MAndreSSir/status/1007234465725214720,396497518,MAndreSSir
1.01E+18,Thu Jun 14 12:16:02 +0000 2018,0,Penggunaan teknologi di persepakbolaan sangat membantu. VAR dan GLT sangat berguna di Piala Dunia kali ini. Semoga turnamen besar lain ikut menerapkan teknologi ini.,1.01E+18,,,in,,0,0,0,https://twitter.com/whattabomb/status/1007235211245940736,1.00E+18,whattabomb
1.01E+18,Thu Jun 14 12:16:11 +0000 2018,2,Lebaran kali ini lebih istimewa karena bertepatan ama pembukaan piala dunia,1.01E+18,,,in,,0,1,0,https://twitter.com/YKBHutapea/status/1007235247052767238,213618309,YKBHutapea
1.01E+18,Thu Jun 14 12:18:43 +0000 2018,0,@TelkomCare min kalo info piala dunia (ch. 86) itu kok tayangin piala dunia ya? Apa cuma pembukaan saja? Thx,1.01E+18,,TelkomCare,in,22 she/her | 🇲🇨,0,1,0,https://twitter.com/croassint/status/1007235886243766272,7.40E+17,croassint
1.01E+18,Thu Jun 14 12:19:28 +0000 2018,0,emak gw nonton tv tentang pildun bingung kok rusia banyak jual senjata kw yaela mak disana emang mafia senjata.. klo dunia banyak perang yang seneng ye.. rusia ‍️,1.01E+18,,,in,Jakarta Capital Region,0,0,1,https://twitter.com/CancerinaGirl/status/1007236076283387905,3243486277,CancerinaGirl
1.01E+18,Thu Jun 14 12:24:35 +0000 2018,0,Indonesia mirip dengan Rusia dan Kroasia. Mirip pada tiga huruguayf akhir. Bukan pada partisipasi di Piala Dunia tahun ini.,1.01E+18,,,in,,0,1,0,https://twitter.com/dckairwnsyh/status/1007237362999386113,237669374,dckairwnsyh
1.01E+18,Thu Jun 14 12:28:38 +0000 2018,0,Hari ini pembukaan piala dunia banyak memori ttg piala dunia terutama ketika dulu banyak rubik di koran atau majalah mengulas ttg serba serbi piala dunia.,1.01E+18,,,in,"Malang, Indonesia",0,0,0,https://twitter.com/nama_panggung/status/1007238380843720705,242347034,nama_panggung
1.01E+18,Thu Jun 14 12:30:41 +0000 2018,0,Pak putin aja bangga pakai bahasa nasionalnya dengan event sebesar piala dunia. :),1.01E+18,,,in,"Jakarta, Bandung, Leeds",0,0,1,https://twitter.com/dimakdimas/status/1007238898106286080,17644956,dimakdimas
1.01E+18,Thu Jun 14 12:35:28 +0000 2018,0,Mau bikin #OOTD edisi Piala Dunia teh si @ayubSkahfi na sibuk wae euy. Denger-denger mah lagi jadi Ball Boy di PilDun Rusia.,1.01E+18,,,in,,1,0,1,https://twitter.com/wandasyafii/status/1007240101816987648,988516291,wandasyafii
1.01E+18,Thu Jun 14 12:35:58 +0000 2018,0,Pembukaan piala dunia di malam takbir #WorldCupRussia2018,1.01E+18,,,in,"Karanganyar,Surakarta,JATENG,",0,0,0,https://twitter.com/danang22wazza/status/1007240228053004290,575465339,danang22wazza
1.01E+18,Thu Jun 14 12:36:07 +0000 2018,0,Lebaran tahun ini spesial pake banget soalnya bertepatan sama Pembukaan Piala Dunia 2018 ,1.01E+18,,,in,,0,0,0,https://twitter.com/upilbebek/status/1007240266938368000,8.97E+17,upilbebek
1.01E+18,Thu Jun 14 12:36:12 +0000 2018,0,Pertandingan Pembukaan Piala Dunia yang kurang menarik.. Rusia (5) : Saudi Arabia (0)..,1.01E+18,,,in,,0,0,0,https://twitter.com/_kangenwater_/status/1007240287196811264,1.00E+18,_kangenwater_
1.01E+18,Thu Jun 14 12:44:26 +0000 2018,0,Malam Takbiran (jika sdh ditentukan) + Pembukaan Piala Dunia sepertinya bakal ramai malam ini,1.01E+18,,,in,"Pamulang, Banten",0,0,0,https://twitter.com/jaraktempuh/status/1007242359065624576,41545767,jaraktempuh
1.01E+18,Thu Jun 14 12:44:39 +0000 2018,0,Okay upacara pembukaan #WorldCup saja diacak gimana pertandingannya? Goodbye Piala Dunia. *balik ke laptop*,1.01E+18,,,in,Jakarta,0,0,0,https://twitter.com/mdedehlmwn/status/1007242412287070208,266597117,mdedehlmwn
1.01E+18,Thu Jun 14 12:45:09 +0000 2018,1,Dalam hemat saya var dan glt dlm bbrp pertandingan awal piala dunia 2018 membuat seni dalam sepakbola sedikit menuruguayn. Atau saya yang tidak mengerti apa itu definisi seni?,1.01E+18,,,in,,0,0,0,https://twitter.com/kamilbaharudin/status/1007242539814883329,555624602,kamilbaharudin
